0.0286 4.7441
0.03209 4.4529
0.03601 3.8841
0.0404 3.548
0.04533 3.0843
0.05086 2.7953
0.05707 2.5087
0.06403 2.2169
0.07184 1.8426
0.08061 1.7049
0.09045 1.5318
0.10148 1.3611
0.11386 1.2195
0.12776 1.05
0.14335 0.94917
0.16084 0.84308
0.18046 0.71555
0.20248 0.66358
0.22719 0.59171
0.25491 0.51734
0.28602 0.43791
0.32091 0.36371
0.36007 0.32394
0.40401 0.28542
0.4533 0.25697
0.50862 0.2311
0.57067 0.20473
0.64031 0.18005
0.71843 0.15314
0.80611 0.12728
0.90447 0.10011
1.0148 0.08585
1.1386 0.0775
1.2776 0.07663
1.4335 0.07885
1.6084 0.08162
1.8046 0.08079
2.0248 0.07204
2.2719 0.05966
2.5491 0.045
2.8602 0.03215
3.2091 0.02231
3.6007 0.0146
4.0401 0.00968
4.533 0.00561
5.0862 0.00342
5.7067 0.00195
6.4031 0.00109
7.1843 6.2408E-4
8.0611 3.6313E-4
9.0447 1.8952E-4
10.148 1.0135E-4
11.386 4.1693E-5
12.776 3.7155E-5
14.335 1.6559E-5
16.084 8.1989E-6
18.046 2.9229E-6
20.248 3.9076E-6
22.719 5.8045E-6
25.491 2.0691E-6
28.602 1.8965E-7


