-9.703485   2.835460e-003   6.348221e-005
-9.310377   3.174369e-003   7.103434e-005
-8.917270   4.463805e-003   9.973893e-005
-8.524163   6.619287e-003   1.446515e-004
-8.131055   8.771875e-003   1.903783e-004
-7.737948   1.142445e-002   2.520167e-004
-7.344840   1.629963e-002   3.496615e-004
-6.951733   2.177005e-002   4.679838e-004
-6.558626   3.543186e-002   7.630791e-004
-6.165518   4.143611e-002   8.988753e-004
-5.772411   5.922457e-002   1.282350e-003
-5.379304   7.553763e-002   1.688651e-003
-4.986196   7.786854e-002   1.814334e-003
-4.593089   9.243248e-002   2.308649e-003
-4.199982   7.360983e-002   2.027581e-003
-3.806874   6.092376e-002   1.935307e-003
-3.413767   6.550517e-002   2.488336e-003
-3.020660   3.068769e-002   1.469674e-003
-2.627552   1.905205e-002   1.237563e-003
-2.234445   8.276230e-003   9.431639e-004
-1.841337   4.205358e-003   1.085819e-003
-1.448230   0.000000e+000   0.000000e+000
-1.055123   0.000000e+000   0.000000e+000
-0.662015   0.000000e+000   0.000000e+000
-0.268908   0.000000e+000   0.000000e+000
0.124199   0.000000e+000   0.000000e+000
0.517307   0.000000e+000   0.000000e+000
0.910414   0.000000e+000   0.000000e+000
1.303521   0.000000e+000   0.000000e+000
1.696629   0.000000e+000   0.000000e+000
2.089736   0.000000e+000   0.000000e+000
2.482844   0.000000e+000   0.000000e+000
2.875951   0.000000e+000   0.000000e+000
3.269058   0.000000e+000   0.000000e+000
3.662166   0.000000e+000   0.000000e+000
4.055273   0.000000e+000   0.000000e+000
4.448380   0.000000e+000   0.000000e+000
4.841488   0.000000e+000   0.000000e+000
5.234595   0.000000e+000   0.000000e+000
5.627702   0.000000e+000   0.000000e+000
6.020810   0.000000e+000   0.000000e+000
6.413917   0.000000e+000   0.000000e+000
6.807024   0.000000e+000   0.000000e+000
7.200132   0.000000e+000   0.000000e+000
7.593239   0.000000e+000   0.000000e+000
7.986347   0.000000e+000   0.000000e+000
8.379454   0.000000e+000   0.000000e+000
8.772561   0.000000e+000   0.000000e+000
9.165669   0.000000e+000   0.000000e+000
9.558776   0.000000e+000   0.000000e+000
9.951883   0.000000e+000   0.000000e+000
10.344991   0.000000e+000   0.000000e+000
10.738098   0.000000e+000   0.000000e+000
11.131205   0.000000e+000   0.000000e+000
11.524313   0.000000e+000   0.000000e+000
11.917420   0.000000e+000   0.000000e+000
12.310527   0.000000e+000   0.000000e+000
12.703635   0.000000e+000   0.000000e+000
13.096742   0.000000e+000   0.000000e+000
13.489850   0.000000e+000   0.000000e+000
13.882957   0.000000e+000   0.000000e+000
14.276064   0.000000e+000   0.000000e+000
14.669172   0.000000e+000   0.000000e+000
15.062279   0.000000e+000   0.000000e+000
15.455386   0.000000e+000   0.000000e+000
15.848494   0.000000e+000   0.000000e+000
16.241601   0.000000e+000   0.000000e+000
16.634708   0.000000e+000   0.000000e+000
17.027816   0.000000e+000   0.000000e+000
17.420923   0.000000e+000   0.000000e+000
17.814030   0.000000e+000   0.000000e+000
18.207138   0.000000e+000   0.000000e+000
18.600245   0.000000e+000   0.000000e+000
18.993353   0.000000e+000   0.000000e+000
19.386460   0.000000e+000   0.000000e+000
