 -1 5.000000  0.000000
 -1 4.999605  0.062830
 -1 4.998421  0.125650
 -1 4.996447  0.188451
 -1 4.993685  0.251222
 -1 4.990134  0.313953
 -1 4.985795  0.376634
 -1 4.980668  0.439256
 -1 4.974755  0.501809
 -1 4.968057  0.564282
 -1 4.960574  0.626666
 -1 4.952307  0.688951
 -1 4.943259  0.751128
 -1 4.933430  0.813186
 -1 4.922822  0.875115
 -1 4.911436  0.936907
 -1 4.899275  0.998550
 -1 4.886341  1.060036
 -1 4.872634  1.121354
 -1 4.858159  1.182495
 -1 4.842916  1.243449
 -1 4.826908  1.304208
 -1 4.810138  1.364760
 -1 4.792609  1.425096
 -1 4.774323  1.485208
 -1 4.755283  1.545085
 -1 4.735492  1.604718
 -1 4.714953  1.664098
 -1 4.693669  1.723215
 -1 4.671645  1.782059
 -1 4.648882  1.840623
 -1 4.625386  1.898895
 -1 4.601159  1.956868
 -1 4.576206  2.014532
 -1 4.550530  2.071878
 -1 4.524135  2.128896
 -1 4.497026  2.185579
 -1 4.469207  2.241916
 -1 4.440682  2.297899
 -1 4.411456  2.353520
 -1 4.381533  2.408768
 -1 4.350919  2.463637
 -1 4.319617  2.518116
 -1 4.287633  2.572198
 -1 4.254972  2.625873
 -1 4.221640  2.679134
 -1 4.187640  2.731972
 -1 4.152979  2.784378
 -1 4.117663  2.836345
 -1 4.081696  2.887864
 -1 4.045085  2.938926
 -1 4.007835  2.989525
 -1 3.969952  3.039651
 -1 3.931442  3.089298
 -1 3.892312  3.138457
 -1 3.852566  3.187120
 -1 3.812213  3.235280
 -1 3.771257  3.282929
 -1 3.729706  3.330059
 -1 3.687566  3.376664
 -1 3.644843  3.422736
 -1 3.601545  3.468267
 -1 3.557678  3.513250
 -1 3.513250  3.557678
 -1 3.468267  3.601545
 -1 3.422736  3.644843
 -1 3.376664  3.687566
 -1 3.330059  3.729706
 -1 3.282929  3.771257
 -1 3.235280  3.812213
 -1 3.187120  3.852566
 -1 3.138457  3.892312
 -1 3.089298  3.931442
