# reflectivity file for Ni-58 coated walls (m=1.16)
#
0.99  0.99  0.99  0.99  0.99  0.99  0.99  0.99  0.99  0.99
0.99  0.99  0.99  0.99  0.99  0.99  0.99  0.99  0.99  0.99
0.99  0.99  0.99  0.99  0.99  0.99  0.99  0.99  0.99  0.99
0.99  0.99  0.99  0.99  0.99  0.99  0.99  0.99  0.99  0.99
0.99  0.99  0.99  0.99  0.99  0.99  0.99  0.99  0.99  0.99
0.99  0.99  0.99  0.99  0.99  0.99  0.99  0.99  0.99  0.99
0.99  0.99  0.99  0.99  0.99  0.99  0.99  0.99  0.99  0.99
0.99  0.99  0.99  0.99  0.99  0.99  0.99  0.99  0.99  0.99
0.99  0.99  0.99  0.99  0.99  0.99  0.99  0.99  0.99  0.99
0.99  0.99  0.99  0.99  0.99  0.99  0.99  0.99  0.99  0.99
0.99  0.99  0.99  0.99  0.99  0.99  0.99  0.99  0.99  0.99
0.99  0.99  0.99  0.99  0.99  0.0

