ltot		l1		l2		l3		dtof	dlambda		dtof1ord	dMterm	dSterm	dXterm	dDterm
 5374.261017    5002.398554     196.888846     174.973617   1.088843e-003   6.673942e-003   4.570250e-010   0.000000e+000   -2.604165e-010   1.087702e-009   -3.702602e-010
 5375.169641    4997.056798     203.163342     174.949502   2.121579e-003   5.705036e-003   -4.376246e-010   0.000000e+000   -9.203818e-011   3.356935e-010   -6.812799e-010
 5379.384932    5001.972713     199.628446     177.783773   -2.319740e-003   5.354128e-004   2.119703e-009   0.000000e+000   1.100501e-009   1.047154e-009   -2.795202e-011
 5379.207973    5000.343504     200.322829     178.541640   7.525557e-004   9.645059e-004   5.558547e-010   0.000000e+000   4.373774e-010   8.097021e-010   -6.912248e-010
 5378.647697    5001.341314     198.609452     178.696931   3.612439e-005   1.555115e-003   -1.460005e-009   0.000000e+000   -1.265601e-010   -1.273450e-010   -1.206100e-009
 5381.434310    5001.554202     197.761117     182.118991   -5.834818e-003   -2.074683e-003   3.198027e-009   0.000000e+000   -5.164651e-010   1.854262e-009   1.860230e-009
 5375.398604    5000.290620     197.915223     177.192761   -1.389230e-004   5.275420e-003   -1.747424e-009   0.000000e+000   -9.637180e-010   -5.192762e-010   -2.644297e-010
 5380.776728    4999.723636     201.493720     179.559373   5.494523e-003   -4.873733e-004   -6.379028e-010   0.000000e+000   5.242636e-010   -9.070703e-010   -2.550961e-010
 5378.318829    5002.332740     199.151276     176.834812   3.113428e-003   2.159129e-003   9.738308e-011   0.000000e+000   8.845834e-010   -2.966088e-010   -4.905915e-010
 5383.389309    5001.019346     203.052939     179.317024   -5.066479e-003   -4.259850e-003   3.445169e-009   0.000000e+000   2.300165e-009   6.058724e-010   5.391321e-010
 5381.486359    4998.250369     204.868520     178.367470   9.801949e-003   -9.848959e-004   9.027484e-010   0.000000e+000   1.450935e-009   -6.951513e-010   1.469648e-010
 5387.313217    5001.804950     200.963926     184.544341   8.305610e-004   -8.321156e-003   1.690782e-009   0.000000e+000   1.521243e-009   -2.287434e-012   1.718264e-010
 5374.358805    4996.399907     202.024988     175.933910   -1.361226e-003   6.381120e-003   -2.281277e-009   0.000000e+000   -1.094196e-009   -1.386298e-009   1.992168e-010
 5385.029626    4999.605227     204.976438     180.447962   -9.588148e-003   -6.471600e-003   2.932710e-009   0.000000e+000   2.748982e-009   -4.765169e-010   6.602454e-010
 5384.132269    4999.014306     200.033578     185.084385   8.706683e-003   -4.099326e-003   8.734776e-010   0.000000e+000   -5.423764e-010   5.045266e-010   9.113275e-010
 5384.785087    4999.317837     202.079316     183.387933   7.963253e-004   -5.428566e-003   4.429776e-010   0.000000e+000   7.697601e-010   -4.393468e-010   1.125642e-010
