 1.5500084E+000	 4.3587090E-004 	 2.5165018E-004 
 1.5500251E+000	 1.5482014E-004 	 8.9385451E-005 
 1.5500418E+000	 1.3547692E-004 	 6.7738461E-005 
 1.5500585E+000	 8.9215003E-004 	 6.3084534E-004 
 1.5500753E+000	 5.5027565E-005 	 2.7513782E-005 
 1.5500920E+000	 4.5649259E-004 	 2.0414969E-004 
 1.5501087E+000	 1.3491084E-004 	 6.7455422E-005 
 1.5501254E+000	 0.0000000E+000 	 0.0000000E+000 
 1.5501421E+000	 7.5365100E-004 	 3.3704297E-004 
 1.5501589E+000	 2.7625181E-004 	 2.7625181E-004 
 1.5501756E+000	 8.1961329E-004 	 8.1961329E-004 
 1.5501923E+000	 3.4325178E-003 	 1.5350686E-003 
 1.5502090E+000	 1.4131268E-004 	 8.1586916E-005 
 1.5502258E+000	 1.1608883E-004 	 6.7023916E-005 
 1.5502425E+000	 9.6827353E-005 	 9.6827353E-005 
 1.5502592E+000	 2.9020195E-005 	 1.6754817E-005 
 1.5502759E+000	 7.5010288E-004 	 3.7505144E-004 
 1.5502926E+000	 0.0000000E+000 	 0.0000000E+000 
 1.5503094E+000	 6.9665472E-005 	 3.4832736E-005 
 1.5503261E+000	 3.6140711E-005 	 1.8070356E-005 
 1.5503428E+000	 5.1508298E-005 	 2.9738330E-005 
 1.5503595E+000	 1.1949207E-004 	 6.8988781E-005 
 1.5503763E+000	 4.6967537E-007 	 4.6967537E-007 
 1.5503930E+000	 2.6960977E-005 	 1.5565927E-005 
 1.5504097E+000	 3.4757789E-004 	 3.4757789E-004 
 1.5504264E+000	 8.4458290E-004 	 5.9721030E-004 
 1.5504431E+000	 2.1720638E-004 	 1.0860319E-004 
 1.5504599E+000	 3.0633036E-004 	 2.1660827E-004 
 1.5504766E+000	 1.5903894E-003 	 5.0292527E-004 
 1.5504933E+000	 2.2225979E-003 	 9.9397599E-004 
 1.5505100E+000	 8.1764477E-005 	 3.6566186E-005 
 1.5505268E+000	 8.6231002E-005 	 4.3115501E-005 
 1.5505435E+000	 3.7692731E-003 	 1.8846366E-003 
 1.5505602E+000	 2.2689336E-004 	 9.2628828E-005 
 1.5505769E+000	 6.2148334E-004 	 2.7793580E-004 
 1.5505936E+000	 2.5040785E-004 	 1.7706509E-004 
 1.5506104E+000	 5.1386889E-005 	 1.9422418E-005 
 1.5506271E+000	 8.8189899E-005 	 8.8189899E-005 
 1.5506438E+000	 4.6722632E-006 	 4.6722632E-006 
 1.5506605E+000	 2.2966147E-004 	 1.0270773E-004 
 1.5506773E+000	 3.8358914E-003 	 1.9179457E-003 
 1.5506940E+000	 4.5602291E-004 	 2.0393964E-004 
 1.5507107E+000	 1.8520560E-004 	 8.2826462E-005 
 1.5507274E+000	 8.5880393E-006 	 4.2940197E-006 
 1.5507441E+000	 2.1273835E-005 	 1.5042873E-005 
 1.5507609E+000	 6.3734646E-005 	 3.6797215E-005 
 1.5507776E+000	 2.5424855E-004 	 2.5424855E-004 
 1.5507943E+000	 6.0956168E-005 	 3.5193060E-005 
 1.5508110E+000	 5.4643988E-007 	 5.4643988E-007 
 1.5508278E+000	 3.8221568E-003 	 2.7026730E-003 
 1.5508445E+000	 2.6607114E-004 	 1.5361625E-004 
 1.5508612E+000	 5.0789975E-005 	 2.5394988E-005 
 1.5508779E+000	 1.5701776E-003 	 9.0654248E-004 
 1.5508946E+000	 0.0000000E+000 	 0.0000000E+000 
 1.5509114E+000	 1.5172796E-005 	 8.7600179E-006 
 1.5509281E+000	 2.9477761E-004 	 1.7018993E-004 
 1.5509448E+000	 1.0077350E-004 	 5.8181606E-005 
 1.5509615E+000	 3.2687089E-006 	 3.2687089E-006 
 1.5509783E+000	 0.0000000E+000 	 0.0000000E+000 
 1.5509950E+000	 1.3285331E-004 	 5.0213833E-005 
 1.5510117E+000	 2.3568318E-004 	 1.6665318E-004 
 1.5510284E+000	 9.0778090E-001 	 4.5389045E-001 
 1.5510452E+000	 4.5886222E-005 	 3.2446459E-005 
 1.5510619E+000	 1.1997666E-004 	 5.3655193E-005 
 1.5510786E+000	 6.8533976E-001 	 2.7978879E-001 
