0.005570   0.000683   0.999978   0.999994        1.565226    1.570114    0.999994        1.565184    0.121943   0.999994
-0.006750   -0.000873   0.999931   0.999954        1.577546    1.571669    0.999954        1.563990    -3.012974   0.999954
0.006149   0.000170   0.999880   0.999899        1.564647    1.570626    0.999899        1.564644    0.027642   0.999899
-0.006074   -0.000466   0.999832   0.999851        1.576871    1.571262    0.999851        1.564703    -3.065101   0.999851
0.006142   0.000836   0.999785   0.999804        1.564654    1.569960    0.999804        1.564596    0.135234   0.999804
-0.006351   -0.000544   0.999735   0.999756        1.577147    1.571341    0.999756        1.564420    -3.056119   0.999756
0.006260   0.000486   0.999686   0.999705        1.564536    1.570310    0.999705        1.564515    0.077549   0.999705
-0.006039   -0.000583   0.999637   0.999655        1.576835    1.571380    0.999655        1.564727    -3.045307   0.999655
0.006216   0.000622   0.999588   0.999608        1.564580    1.570174    0.999608        1.564546    0.099720   0.999608
-0.006279   -0.000545   0.999539   0.999559        1.577075    1.571341    0.999559        1.564491    -3.055081   0.999559
0.006136   0.000372   0.999489   0.999508        1.564660    1.570424    0.999508        1.564646    0.060542   0.999508
-0.006096   -0.000491   0.999440   0.999459        1.576892    1.571287    0.999459        1.564677    -3.061254   0.999459
0.006090   0.000605   0.999391   0.999410        1.564706    1.570191    0.999410        1.564673    0.099016   0.999410
-0.006146   -0.000485   0.999342   0.999361        1.576942    1.571281    0.999361        1.564627    -3.062884   0.999361
0.006087   0.000503   0.999292   0.999311        1.564709    1.570293    0.999311        1.564684    0.082471   0.999311
-0.005962   -0.000577   0.999244   0.999262        1.576758    1.571374    0.999262        1.564802    -3.045038   0.999262
0.006049   0.000593   0.999195   0.999214        1.564748    1.570203    0.999214        1.564714    0.097757   0.999214
-0.006057   -0.000555   0.999146   0.999165        1.576853    1.571352    0.999165        1.564709    -3.050219   0.999165
0.005934   0.000481   0.999097   0.999115        1.564863    1.570315    0.999115        1.564838    0.080813   0.999115
-0.005890   -0.000546   0.999049   0.999067        1.576686    1.571343    0.999067        1.564876    -3.049169   0.999067
0.005884   0.000605   0.999001   0.999019        1.564912    1.570191    0.999019        1.564875    0.102448   0.999019
-0.005896   -0.000541   0.998953   0.998970        1.576693    1.571338    0.998970        1.564869    -3.050116   0.998970
0.005841   0.000526   0.998905   0.998922        1.564956    1.570270    0.998922        1.564926    0.089772   0.998922
-0.005752   -0.000565   0.998857   0.998874        1.576548    1.571362    0.998874        1.565010    -3.043630   0.998874
0.005788   0.000555   0.998809   0.998826        1.565008    1.570240    0.998826        1.564975    0.095644   0.998826
-0.005766   -0.000509   0.998761   0.998778        1.576562    1.571306    0.998778        1.565001    -3.053613   0.998778
0.005713   0.000427   0.998714   0.998730        1.565083    1.570369    0.998730        1.565060    0.074620   0.998730
-0.005749   -0.000484   0.998665   0.998682        1.576545    1.571281    0.998682        1.565019    -3.057567   0.998682
0.005747   0.000524   0.998617   0.998634        1.565049    1.570271    0.998634        1.565017    0.090998   0.998634
-0.005783   -0.000451   0.998569   0.998585        1.576579    1.571248    0.998585        1.564987    -3.063777   0.998585
0.005754   0.000432   0.998520   0.998536        1.565042    1.570364    0.998536        1.565018    0.074884   0.998536
