-1.960000   0.000000e+00   0.000000e+00           1
-1.880000   0.000000e+00   0.000000e+00           1
-1.800000   0.000000e+00   0.000000e+00           1
-1.720000   0.000000e+00   0.000000e+00           1
-1.640000   0.000000e+00   0.000000e+00           1
-1.560000   0.000000e+00   0.000000e+00           1
-1.480000   0.000000e+00   0.000000e+00           1
-1.400000   0.000000e+00   0.000000e+00           1
-1.320000   0.000000e+00   0.000000e+00           1
-1.240000   0.000000e+00   0.000000e+00           1
-1.160000   0.000000e+00   0.000000e+00           1
-1.080000   0.000000e+00   0.000000e+00           1
-1.000000   0.000000e+00   0.000000e+00           1
-0.920000   0.000000e+00   0.000000e+00           1
-0.840000   0.000000e+00   0.000000e+00           1
-0.760000   0.000000e+00   0.000000e+00           1
-0.680000   0.000000e+00   0.000000e+00           1
-0.600000   0.000000e+00   0.000000e+00           1
-0.520000   0.000000e+00   0.000000e+00           1
-0.440000   0.000000e+00   0.000000e+00           1
-0.360000   0.000000e+00   0.000000e+00           1
-0.280000   0.000000e+00   0.000000e+00           1
-0.200000   0.000000e+00   0.000000e+00           1
-0.120000   0.000000e+00   0.000000e+00           1
-0.040000   6.107259e-02   8.089262e-03          57
0.040000   1.145445e-02   3.176892e-03          13
0.120000   0.000000e+00   0.000000e+00           1
0.200000   0.000000e+00   0.000000e+00           1
0.280000   0.000000e+00   0.000000e+00           1
0.360000   0.000000e+00   0.000000e+00           1
0.440000   0.000000e+00   0.000000e+00           1
0.520000   0.000000e+00   0.000000e+00           1
0.600000   0.000000e+00   0.000000e+00           1
0.680000   0.000000e+00   0.000000e+00           1
0.760000   0.000000e+00   0.000000e+00           1
0.840000   0.000000e+00   0.000000e+00           1
0.920000   0.000000e+00   0.000000e+00           1
1.000000   0.000000e+00   0.000000e+00           1
1.080000   0.000000e+00   0.000000e+00           1
1.160000   0.000000e+00   0.000000e+00           1
1.240000   0.000000e+00   0.000000e+00           1
1.320000   0.000000e+00   0.000000e+00           1
1.400000   0.000000e+00   0.000000e+00           1
1.480000   0.000000e+00   0.000000e+00           1
1.560000   0.000000e+00   0.000000e+00           1
1.640000   0.000000e+00   0.000000e+00           1
1.720000   0.000000e+00   0.000000e+00           1
1.800000   0.000000e+00   0.000000e+00           1
1.880000   0.000000e+00   0.000000e+00           1
1.960000   0.000000e+00   0.000000e+00           1
