10 6
-0.118851 4.495077 -0.006229 0.000000 0.000000 0.000000 3.033271 0.000000
-0.229141 4.491997 0.987649 0.000000 0.000000 0.000000 3.033271 0.673759
-0.351099 4.488296 1.980160 0.000000 0.000000 0.000000 3.033271 1.347933
-0.484713 4.483974 2.971166 0.000000 0.000000 0.000000 3.033271 2.022523
-0.629972 4.479031 3.960530 0.000000 0.000000 0.000000 3.033271 2.697530
-0.786864 4.473467 4.948112 0.000000 0.000000 0.000000 3.033271 3.372953
-0.071904 3.496816 -0.003768 0.000000 0.000000 0.000000 2.359211 0.000000
-0.182227 3.494420 0.990107 0.000000 -0.001186 -0.000016 2.359211 0.673759
-0.304223 3.491541 1.982616 0.000000 -0.001927 -0.000016 2.359211 1.347933
-0.437882 3.488179 2.973620 0.000000 -0.002791 -0.000016 2.359211 2.022523
-0.583193 3.484334 3.962981 0.000000 -0.003780 -0.000016 2.359211 2.697530
-0.740143 3.480006 4.950561 0.000000 -0.004894 -0.000016 2.359211 3.372953
-0.036688 2.498072 -0.001923 0.000000 0.000000 0.000000 1.685151 0.000000
-0.147035 2.496360 0.991952 0.000000 -0.001186 -0.000016 1.685151 0.673759
-0.269060 2.494303 1.984459 0.000000 -0.001927 -0.000016 1.685151 1.347933
-0.402753 2.491901 2.975461 0.000000 -0.002791 -0.000016 1.685151 2.022523
-0.548103 2.489154 3.964820 0.000000 -0.003780 -0.000016 1.685151 2.697530
-0.705097 2.486062 4.952397 0.000000 -0.004894 -0.000016 1.685151 3.372953
-0.013208 1.498981 -0.000692 0.000000 0.000000 0.000000 1.011090 0.000000
-0.123571 1.497954 0.993181 0.000000 -0.001186 -0.000016 1.011090 0.673759
-0.245616 1.496720 1.985688 0.000000 -0.001927 -0.000016 1.011090 1.347933
-0.379331 1.495279 2.976689 0.000000 -0.002791 -0.000016 1.011090 2.022523
-0.524707 1.493630 3.966046 0.000000 -0.003780 -0.000016 1.011090 2.697530
-0.681730 1.491775 4.953622 0.000000 -0.004894 -0.000016 1.011090 3.372953
-0.001468 0.499683 -0.000077 0.000000 0.000000 0.000000 0.337030 0.000000
-0.111839 0.499341 0.993796 0.000000 -0.001186 -0.000016 0.337030 0.673759
-0.233893 0.498930 1.986302 0.000000 -0.001927 -0.000016 0.337030 1.347933
-0.367620 0.498449 2.977303 0.000000 -0.002791 -0.000016 0.337030 2.022523
-0.513008 0.497900 3.966660 0.000000 -0.003780 -0.000016 0.337030 2.697530
-0.670046 0.497281 4.954234 0.000000 -0.004894 -0.000016 0.337030 3.372953
-0.001468 -0.499683 -0.000077 0.000000 0.000000 0.000000 -0.337030 0.000000
-0.111839 -0.499341 0.993796 0.000000 -0.001186 -0.000016 -0.337030 0.673759
-0.233893 -0.498930 1.986302 0.000000 -0.001927 -0.000016 -0.337030 1.347933
-0.367620 -0.498449 2.977303 0.000000 -0.002791 -0.000016 -0.337030 2.022523
-0.513008 -0.497900 3.966660 0.000000 -0.003780 -0.000016 -0.337030 2.697530
-0.670046 -0.497281 4.954234 0.000000 -0.004894 -0.000016 -0.337030 3.372953
-0.013208 -1.498981 -0.000692 0.000000 0.000000 0.000000 -1.011090 0.000000
-0.123571 -1.497954 0.993181 0.000000 -0.001186 -0.000016 -1.011090 0.673759
-0.245616 -1.496720 1.985688 0.000000 -0.001927 -0.000016 -1.011090 1.347933
-0.379331 -1.495279 2.976689 0.000000 -0.002791 -0.000016 -1.011090 2.022523
-0.524707 -1.493630 3.966046 0.000000 -0.003780 -0.000016 -1.011090 2.697530
-0.681730 -1.491775 4.953622 0.000000 -0.004894 -0.000016 -1.011090 3.372953
-0.036688 -2.498072 -0.001923 0.000000 0.000000 0.000000 -1.685151 0.000000
-0.147035 -2.496360 0.991952 0.000000 -0.001186 -0.000016 -1.685151 0.673759
-0.269060 -2.494303 1.984459 0.000000 -0.001927 -0.000016 -1.685151 1.347933
-0.402753 -2.491901 2.975461 0.000000 -0.002791 -0.000016 -1.685151 2.022523
-0.548103 -2.489154 3.964820 0.000000 -0.003780 -0.000016 -1.685151 2.697530
-0.705097 -2.486062 4.952397 0.000000 -0.004894 -0.000016 -1.685151 3.372953
-0.071904 -3.496816 -0.003768 0.000000 0.000000 0.000000 -2.359211 0.000000
-0.182227 -3.494420 0.990107 0.000000 -0.001186 -0.000016 -2.359211 0.673759
-0.304223 -3.491541 1.982616 0.000000 -0.001927 -0.000016 -2.359211 1.347933
-0.437882 -3.488179 2.973620 0.000000 -0.002791 -0.000016 -2.359211 2.022523
-0.583193 -3.484334 3.962981 0.000000 -0.003780 -0.000016 -2.359211 2.697530
-0.740143 -3.480006 4.950561 0.000000 -0.004894 -0.000016 -2.359211 3.372953
-0.118851 -4.495077 -0.006229 0.000000 0.000000 0.000000 -3.033271 0.000000
-0.229141 -4.491997 0.987649 0.000000 -0.001186 -0.000016 -3.033271 0.673759
-0.351099 -4.488296 1.980160 0.000000 -0.001927 -0.000016 -3.033271 1.347933
-0.484713 -4.483974 2.971166 0.000000 -0.002791 -0.000016 -3.033271 2.022523
-0.629972 -4.479031 3.960530 0.000000 -0.003780 -0.000016 -3.033271 2.697530
-0.786864 -4.473467 4.948112 0.000000 -0.004894 -0.000016 -3.033271 3.372953
