1 13
-0.127418 -0.331935 -11.979741 0.000000 0.000000 0.000000 0.000000 -3.400000
-0.088453 -0.230429 -9.982698 0.000000 0.000000 0.000000 0.000000 -2.832706
-0.056577 -0.147387 -7.984677 0.000000 0.000000 0.000000 0.000000 -2.265412
-0.031791 -0.082818 -5.985873 0.000000 0.000000 0.000000 0.000000 -1.698117
-0.014099 -0.036728 -3.986483 0.000000 0.000000 0.000000 0.000000 -1.130823
-0.003501 -0.009121 -1.986702 0.000000 0.000000 0.000000 0.000000 -0.563529
-0.000000 -0.000000 0.013275 0.000000 0.000000 0.000000 0.000000 0.003765
-0.003595 -0.009367 2.013249 0.000000 0.000000 0.000000 0.000000 0.571060
-0.014287 -0.037219 4.013027 0.000000 0.000000 0.000000 0.000000 1.138354
-0.032074 -0.083554 6.012411 0.000000 0.000000 0.000000 0.000000 1.705648
-0.056953 -0.148369 8.011206 0.000000 0.000000 0.000000 0.000000 2.272942
-0.088924 -0.231655 10.009215 0.000000 0.000000 0.000000 0.000000 2.840236
-0.127983 -0.333406 12.006243 0.000000 0.000000 0.000000 0.000000 3.407531
