 1.9910000E-01	 1.0459152E+11 	 1.0356104E+10 	 5.1463169E+02 
 3.9730000E-01	 2.3627654E+10 	 1.6265948E+09 	 1.0645812E+03 
 5.9550000E-01	 1.0691783E+10 	 6.8587821E+08 	 1.2260343E+03 
 7.9370000E-01	 7.4407041E+09 	 4.4869134E+08 	 1.3874874E+03 
 9.9190000E-01	 1.0171779E+10 	 5.9222389E+08 	 1.4883956E+03 
 1.1901000E+00	 6.9347713E+09 	 3.6448349E+08 	 1.8264379E+03 
 1.3883000E+00	 4.7373384E+09 	 2.4864578E+08 	 1.8314834E+03 
 1.5865000E+00	 7.0535530E+09 	 3.4835015E+08 	 2.0686176E+03 
 1.7847000E+00	 7.8131041E+09 	 3.5368260E+08 	 2.4621594E+03 
 1.9829000E+00	 1.0697369E+10 	 4.8775804E+08 	 2.4268416E+03 
 2.1811000E+00	 1.2875477E+10 	 5.3976809E+08 	 2.8708375E+03 
 2.3793000E+00	 1.3530371E+10 	 5.7957740E+08 	 2.7497477E+03 
 2.5775000E+00	 1.8094744E+10 	 6.9801989E+08 	 3.3905146E+03 
 2.7757000E+00	 1.9250718E+10 	 7.1544730E+08 	 3.6528759E+03 
 2.9739000E+00	 1.8605401E+10 	 6.8119214E+08 	 3.7638749E+03 
 3.1721000E+00	 1.8841042E+10 	 6.6119097E+08 	 4.0968718E+03 
 3.3703000E+00	 1.9224966E+10 	 6.3279747E+08 	 4.6569122E+03 
 3.5685000E+00	 1.8550485E+10 	 5.9378656E+08 	 4.9243189E+03 
 3.7667000E+00	 1.6221760E+10 	 5.0643568E+08 	 5.1765893E+03 
 3.9649000E+00	 1.5042227E+10 	 4.5624421E+08 	 5.4843592E+03 
 4.1631000E+00	 1.4082754E+10 	 4.0568978E+08 	 6.0797175E+03 
 4.3613000E+00	 1.2477753E+10 	 3.6293401E+08 	 5.9636731E+03 
 4.5595000E+00	 1.2488526E+10 	 3.3765108E+08 	 6.9021191E+03 
 4.7577000E+00	 1.1356144E+10 	 2.9639294E+08 	 7.4066599E+03 
 4.9559000E+00	 1.0841843E+10 	 2.7003533E+08 	 8.1331988E+03 
 5.1541000E+00	 1.0234348E+10 	 2.4415988E+08 	 8.8647830E+03 
 5.3523000E+00	 9.4952097E+09 	 2.1737789E+08 	 9.6266398E+03 
 5.5505000E+00	 8.5486397E+09 	 1.9299565E+08 	 9.8990918E+03 
 5.7487000E+00	 7.9849291E+09 	 1.7313598E+08 	 1.0731584E+04 
 5.9469000E+00	 7.2514685E+09 	 1.5314688E+08 	 1.1311806E+04 
 6.1451000E+00	 6.9394646E+09 	 1.4016975E+08 	 1.2366297E+04 
 6.3433000E+00	 6.3843039E+09 	 1.2470390E+08 	 1.3224016E+04 
 6.5415000E+00	 5.9528095E+09 	 1.1361896E+08 	 1.3849647E+04 
 6.7397000E+00	 5.5398636E+09 	 1.0273108E+08 	 1.4672048E+04 
 6.9379000E+00	 4.9974525E+09 	 9.0922908E+07 	 1.5242180E+04 
 7.1361000E+00	 4.5901226E+09 	 8.1654617E+07 	 1.5943491E+04 
 7.3343000E+00	 4.5224863E+09 	 7.6226491E+07 	 1.7759839E+04 
 7.5325000E+00	 4.1771657E+09 	 6.9036988E+07 	 1.8471241E+04 
 7.7307000E+00	 3.8805052E+09 	 6.2605082E+07 	 1.9384460E+04 
 7.9289000E+00	 3.5604104E+09 	 5.6400882E+07 	 2.0105954E+04 
 8.1271000E+00	 3.2909976E+09 	 5.1123160E+07 	 2.0908174E+04 
 8.3253000E+00	 3.1940636E+09 	 4.7550930E+07 	 2.2764884E+04 
 8.5235000E+00	 2.8775015E+09 	 4.2435672E+07 	 2.3198789E+04 
 8.7217000E+00	 2.7753821E+09 	 3.9455535E+07 	 2.4964682E+04 
 8.9199000E+00	 2.5770949E+09 	 3.6153955E+07 	 2.5635721E+04 
 9.1181000E+00	 2.4342089E+09 	 3.3445898E+07 	 2.6725530E+04 
 9.3163000E+00	 2.2624346E+09 	 3.0495575E+07 	 2.7769929E+04 
 9.5145000E+00	 2.0655682E+09 	 2.7604780E+07 	 2.8249243E+04 
 9.7127000E+00	 1.9922072E+09 	 2.5931934E+07 	 2.9778002E+04 
 9.9109000E+00	 1.7704066E+09 	 2.3200621E+07 	 2.9379415E+04 
