 -0.2500	 -0.1686	   280.0
 -0.2250	 -0.1436	   280.0
 -0.2000	 -0.1186	   280.0
 -0.1750	 -0.0936	   280.0
 -0.1500	 -0.0686	   280.0
 -0.1250	 -0.0436	   280.0
 -0.1250	  0.0564	   280.0
 -0.1000	  0.0814	   280.0
 -0.0750	  0.1064	   280.0
 -0.0500	  0.1314	   280.0
 -0.0250	  0.1564	   280.0
 -0.0000	  0.1814	   280.0
 -0.0000	  0.2814	   280.0
  0.0250	  0.3064	   280.0
  0.0500	  0.3314	   280.0
  0.0750	  0.3564	   280.0
  0.1000	  0.3814	   280.0
  0.1250	  0.4064	   280.0
  0.1250	  0.5064	   280.0
  0.1500	  0.5314	   280.0
  0.1750	  0.5564	   280.0
  0.2000	  0.5814	   280.0
  0.2250	  0.6064	   280.0
  0.2500	  0.6314	   280.0
