# x[m] 	 width[m] 	 height[m] 
 0.000000 	 0.070977 	 0.141945 
 0.500000 	 0.072987 	 0.145964 
 1.000000 	 0.074862 	 0.149714 
 1.500000 	 0.076612 	 0.153213 
 2.000000 	 0.078245 	 0.156479 
 2.500000 	 0.079768 	 0.159526 
 3.000000 	 0.081189 	 0.162366 
 3.500000 	 0.082511 	 0.165011 
 4.000000 	 0.083740 	 0.167468 
 4.500000 	 0.084879 	 0.169747 
 5.000000 	 0.085933 	 0.171855 
 5.500000 	 0.086904 	 0.173797 
 6.000000 	 0.087795 	 0.175579 
 6.500000 	 0.088609 	 0.177206 
 7.000000 	 0.089348 	 0.178683 
 7.500000 	 0.090012 	 0.180012 
 8.000000 	 0.090605 	 0.181198 
 8.500000 	 0.091128 	 0.182243 
 9.000000 	 0.091581 	 0.183149 
 9.500000 	 0.091966 	 0.183919 
 10.000000 	 0.092283 	 0.184553 
 10.500000 	 0.092534 	 0.185055 
 11.000000 	 0.092718 	 0.185424 
 11.500000 	 0.092837 	 0.185661 
 12.000000 	 0.092890 	 0.185768 
 12.500000 	 0.092878 	 0.185743 
 13.000000 	 0.092800 	 0.185588 
 13.500000 	 0.092657 	 0.185301 
 14.000000 	 0.092448 	 0.184883 
 14.500000 	 0.092172 	 0.184332 
 15.000000 	 0.091830 	 0.183647 
 15.500000 	 0.091420 	 0.182827 
 16.000000 	 0.090941 	 0.181869 
 16.500000 	 0.090392 	 0.180772 
 17.000000 	 0.089772 	 0.179533 
 17.500000 	 0.089080 	 0.178149 
 18.000000 	 0.088314 	 0.176616 
 18.500000 	 0.087472 	 0.174932 
 19.000000 	 0.086551 	 0.173090 
 19.500000 	 0.085549 	 0.171087 
 20.000000 	 0.084464 	 0.168916 
 20.500000 	 0.083291 	 0.166572 
 20.985500 	 0.082066 	 0.164121 
