# x[m] 	 width[m] 	 height[m] 
 0.000000 	 0.040000 	 0.080000 
 0.500000 	 0.043159 	 0.086329 
 1.000000 	 0.046020 	 0.092061 
 1.500000 	 0.048637 	 0.097303 
 2.000000 	 0.051046 	 0.102129 
 2.500000 	 0.053277 	 0.106596 
 3.000000 	 0.055350 	 0.110748 
 3.500000 	 0.057282 	 0.114618 
 4.000000 	 0.059089 	 0.118236 
 4.500000 	 0.060779 	 0.121622 
 5.000000 	 0.062364 	 0.124796 
 5.500000 	 0.063851 	 0.127773 
 5.535500 	 0.063953 	 0.127978 
