## Wavelength Along Top (Angstroms) v Time 
                0.0904362     0.101471     0.113852     0.127745     0.143332     0.160821     0.180444     0.202461     0.227166     0.254883     0.285984      0.32088     0.360033     0.403964     0.453255      0.50856     0.570613     0.640239     0.718361     0.806012     0.904362      1.01471      1.13852      1.27745      1.43332      1.60821      1.80444      2.02461      2.27166      2.54883      2.85984       3.2088      3.60033      4.03964      4.53255       5.0856      5.70613      6.40239      7.18361      8.06012      9.04362      10.1471      11.3852      12.7745      14.3332 
  0.00000000            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0 
  0.00011037            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0 
  0.00012182            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0 
  0.00013445            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0 
   0.0001484            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0 
  0.00016379            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0 
  0.00018078            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0 
  0.00019953            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0 
  0.00022022            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0 
  0.00024306            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0 
  0.00026827            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0 
  0.00029609            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0 
   0.0003268            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0 
   0.0003607            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0 
  0.00039811            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0 
   0.0004394            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0 
  0.00048497       6.5701            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0 
  0.00053527      6.07479            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0 
  0.00059078      11.3018            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0 
  0.00065206      63.2787      30.0474      5.12297            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0 
  0.00071969      85.9223      52.1136      9.06826            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0 
  0.00079433      125.518      101.676      42.0726      12.0749       4.1833            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0 
  0.00087671      182.099      143.364      59.9324      33.5468      15.0954            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0 
  0.00096764      237.758      133.262       132.42      59.3298      30.7251      6.57251            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0 
    0.001068      262.045      214.717      156.605      70.8763      68.6611      20.4943      3.09048      2.95989            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0 
   0.0011788      310.304      219.038      190.447      133.922       62.341      41.0513      8.11479      5.52674            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0 
    0.001301      242.798      252.484      188.686      163.816      97.8579      81.5059      24.7796      9.28273            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0 
    0.001436      259.988      199.708      210.098      171.699      114.232       92.367      41.1955      17.9756      6.68616            0      2.31197            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0 
   0.0015849      184.372      230.279      204.907      205.846      131.902      119.658        68.31      49.1244      16.1247      13.6202      2.10004            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0 
   0.0017493      177.971      214.397      146.494       175.09      171.186      142.974       120.55      70.4417       37.299      21.8155      8.97146            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0 
   0.0019307      124.746      153.996      188.939       216.21      175.106      153.213      105.229      80.8846      60.6998      19.9502      13.0769      4.82227            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0 
   0.0021309      87.6265      106.598       144.95      162.227      154.522       126.79      118.573      109.269      60.4941      42.8826      27.8214       8.9021      4.43048            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0 
    0.002352      104.096      103.394        105.6        125.8      152.063      146.966      134.249      137.906      69.4613      54.7393      58.5925      26.0419      8.25087            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0 
   0.0025959      58.9897      72.3189      83.2092      102.351      116.307      125.523      138.968      117.174      106.304      68.8196      35.4644      35.9459      17.9547      9.67213      1.08584            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0 
   0.0028651      46.8533        50.44       62.867      73.2057      105.287      104.524      114.195      112.893      113.815      98.5616      57.9359      41.1613       26.171      22.5001       6.7539      2.16419            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0 
   0.0031623      30.8627      27.0333      51.8369      76.8629      72.6826      88.6683      121.304      108.117      87.7211      77.5465      89.2016      41.0869      38.8114      20.3621       12.899      11.1607      1.93297            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0 
   0.0034903      16.7668      24.1328      36.7975      43.6131      62.0713      70.9597      76.8107      93.2431      98.7063       102.56      79.2104      56.9446      38.4264      32.5513      15.9021      6.31766      5.63175      3.68462     0.922956            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0 
   0.0038522      14.0288      18.6592      29.1562      32.7834       37.988      63.0167      70.3398      78.1392      74.9355      89.7539      75.5222      72.0924      58.6238      44.9211      30.1804      11.0982      11.1315      2.42042            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0 
   0.0042518      8.77696      13.9411       22.127      21.1277       28.683      41.2815      49.6477      61.0619      64.2223      77.0472      73.9227      68.0536      49.7521      48.9527      32.1624      17.4566      17.4561       8.2592     0.765417            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0 
   0.0046928      4.90091       18.059      11.4002      14.2187      20.5726      27.3305      39.0399      42.5225      54.3616      72.1082      78.8856      65.9208      62.0748      42.0196      36.0473      28.9474      14.2715      12.8229      2.02364            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0 
   0.0051795      8.16289      8.62546      6.56067      13.2756      16.1916      15.0454       30.676      37.0565      51.1649      50.1009      60.5044      62.1526      60.0226      51.8293      35.0428      36.7187      26.2989      17.3288      9.74991      4.19353       1.2677            0     0.568541            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0 
   0.0057167      4.40593      4.33554       6.9481      8.29108      9.69455      15.2437      12.0544      28.9942      25.3782      41.9049      47.8395      50.3135      62.6171      57.9475      51.5296      38.6177      33.5229      18.0362      16.4457      5.57229      1.04927            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0 
   0.0063096      3.18067      3.04001       2.7374      6.30467      8.08621      13.1598      15.5111      16.5432      21.0215      28.2699      37.6689      42.5114      61.1038      55.7791       39.209      34.1554      39.4219      29.7302      21.7488      12.6503      5.51812      2.50856     0.455709            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0 
