-2.9500000	-2.8500000	-2.7500000	-2.6500000	-2.5500000	-2.4500000	-2.3500000	-2.2500000	-2.1500000	-2.0500000	-1.9500000	-1.8500000	-1.7500000	-1.6500000	-1.5500000	-1.4500000	-1.3500000	-1.2500000	-1.1500000	-1.0500000	-0.9500000	-0.8500000	-0.7500000	-0.6500000	-0.5500000	-0.4500000	-0.3500000	-0.2500000	-0.1500000	-0.0500000	 0.0500000	 0.1500000	 0.2500000	 0.3500000	 0.4500000	 0.5500000	 0.6500000	 0.7500000	 0.8500000	 0.9500000	 1.0500000	 1.1500000	 1.2500000	 1.3500000	 1.4500000	 1.5500000	 1.6500000	 1.7500000	 1.8500000	 1.9500000	 2.0500000	 2.1500000	 2.2500000	 2.3500000	 2.4500000	 2.5500000	 2.6500000	 2.7500000	 2.8500000	 2.9500000	
 -2.950	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	
 -2.850	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	
 -2.750	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	
 -2.650	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	
 -2.550	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	-7.140E-01	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	
 -2.450	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	9.563E-01	9.421E-01	9.742E-01	9.432E-01	9.501E-01	9.258E-01	9.641E-01	9.292E-01	9.539E-01	9.554E-01	9.522E-01	9.783E-01	9.524E-01	9.315E-01	9.392E-01	9.646E-01	9.573E-01	9.423E-01	9.429E-01	9.401E-01	9.599E-01	9.785E-01	9.549E-01	9.770E-01	9.405E-01	9.464E-01	9.498E-01	9.585E-01	9.380E-01	9.623E-01	9.467E-01	9.626E-01	9.635E-01	9.545E-01	9.432E-01	9.247E-01	9.557E-01	9.695E-01	9.636E-01	9.150E-01	9.445E-01	9.776E-01	9.320E-01	9.638E-01	9.605E-01	9.256E-01	9.174E-01	9.483E-01	9.380E-01	9.351E-01	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	
 -2.350	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	9.295E-01	9.386E-01	9.522E-01	9.292E-01	9.423E-01	9.548E-01	9.525E-01	9.695E-01	9.549E-01	9.489E-01	9.409E-01	9.347E-01	9.416E-01	9.462E-01	9.614E-01	9.201E-01	9.443E-01	9.490E-01	9.635E-01	9.616E-01	9.497E-01	9.344E-01	9.569E-01	9.350E-01	9.437E-01	9.436E-01	9.383E-01	9.560E-01	9.453E-01	9.691E-01	9.519E-01	9.514E-01	9.438E-01	9.525E-01	9.724E-01	9.475E-01	9.505E-01	9.594E-01	9.412E-01	9.471E-01	9.499E-01	9.449E-01	9.398E-01	9.454E-01	9.490E-01	9.280E-01	9.629E-01	9.627E-01	9.650E-01	9.384E-01	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	
 -2.250	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	9.482E-01	9.678E-01	9.379E-01	9.551E-01	9.182E-01	9.412E-01	9.439E-01	9.432E-01	9.729E-01	9.264E-01	9.629E-01	9.276E-01	9.372E-01	9.479E-01	9.379E-01	9.464E-01	9.712E-01	9.671E-01	9.637E-01	9.513E-01	9.297E-01	9.614E-01	9.400E-01	9.403E-01	9.520E-01	9.440E-01	9.331E-01	9.694E-01	9.290E-01	9.458E-01	9.555E-01	9.612E-01	9.617E-01	9.512E-01	9.492E-01	9.504E-01	9.533E-01	9.656E-01	9.608E-01	9.511E-01	9.497E-01	9.574E-01	9.336E-01	9.456E-01	9.574E-01	9.298E-01	9.398E-01	9.662E-01	9.160E-01	9.493E-01	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	
 -2.150	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	9.413E-01	9.453E-01	9.743E-01	9.077E-01	9.536E-01	9.575E-01	9.507E-01	9.237E-01	9.375E-01	9.595E-01	9.643E-01	9.649E-01	9.679E-01	9.364E-01	9.480E-01	9.722E-01	9.619E-01	9.381E-01	9.507E-01	9.483E-01	9.564E-01	9.410E-01	9.515E-01	9.531E-01	9.381E-01	9.544E-01	9.737E-01	9.260E-01	9.671E-01	9.591E-01	9.729E-01	9.386E-01	9.359E-01	9.361E-01	9.603E-01	9.806E-01	9.501E-01	9.401E-01	9.599E-01	9.669E-01	9.370E-01	9.502E-01	9.621E-01	9.365E-01	9.493E-01	9.597E-01	9.361E-01	9.168E-01	9.787E-01	9.544E-01	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	
