-1.4625000	-1.3875000	-1.3125000	-1.2375000	-1.1625000	-1.0875000	-1.0125000	-0.9375000	-0.8625000	-0.7875000	-0.7125000	-0.6375000	-0.5625000	-0.4875000	-0.4125000	-0.3375000	-0.2625000	-0.1875000	-0.1125000	-0.0375000	 0.0375000	 0.1125000	 0.1875000	 0.2625000	 0.3375000	 0.4125000	 0.4875000	 0.5625000	 0.6375000	 0.7125000	 0.7875000	 0.8625000	 0.9375000	 1.0125000	 1.0875000	 1.1625000	 1.2375000	 1.3125000	 1.3875000	 1.4625000	
 -2.438	8.309E-01	8.426E-01	8.320E-01	6.878E-01	9.866E-01	8.210E-01	7.195E-01	8.143E-01	9.129E-01	9.884E-01	8.264E-01	8.358E-01	9.828E-01	7.894E-01	6.422E-01	8.474E-01	9.198E-01	7.960E-01	9.120E-01	8.534E-01	6.909E-01	6.900E-01	8.365E-01	9.128E-01	9.316E-01	9.058E-01	8.763E-01	8.437E-01	9.916E-01	9.210E-01	8.294E-01	8.330E-01	8.486E-01	8.984E-01	9.135E-01	7.679E-01	9.218E-01	9.305E-01	6.786E-01	9.730E-01	
 -2.312	6.882E-01	7.913E-01	8.366E-01	8.198E-01	9.651E-01	7.032E-01	8.232E-01	8.345E-01	8.265E-01	8.874E-01	8.652E-01	8.471E-01	9.706E-01	8.767E-01	8.235E-01	9.818E-01	8.230E-01	9.308E-01	9.203E-01	9.268E-01	9.328E-01	8.309E-01	8.377E-01	9.439E-01	7.501E-01	8.347E-01	7.528E-01	7.023E-01	7.484E-01	8.457E-01	9.086E-01	9.746E-01	9.231E-01	6.759E-01	8.576E-01	9.698E-01	8.363E-01	8.998E-01	9.848E-01	8.942E-01	
 -2.188	8.445E-01	9.892E-01	9.000E-01	7.887E-01	8.438E-01	7.855E-01	9.750E-01	9.029E-01	9.218E-01	9.160E-01	7.797E-01	8.693E-01	9.169E-01	8.803E-01	9.215E-01	8.650E-01	9.164E-01	8.175E-01	7.155E-01	9.777E-01	8.579E-01	8.629E-01	8.110E-01	7.858E-01	9.051E-01	9.029E-01	9.157E-01	8.456E-01	8.416E-01	6.801E-01	7.559E-01	9.119E-01	9.813E-01	7.107E-01	8.356E-01	9.895E-01	8.778E-01	9.805E-01	8.838E-01	7.341E-01	
 -2.062	9.016E-01	9.905E-01	8.594E-01	8.467E-01	8.233E-01	9.163E-01	9.113E-01	9.238E-01	8.022E-01	9.758E-01	8.849E-01	8.788E-01	9.001E-01	7.776E-01	8.743E-01	9.876E-01	8.618E-01	8.076E-01	7.636E-01	8.907E-01	9.821E-01	8.987E-01	8.778E-01	7.114E-01	9.141E-01	9.278E-01	8.432E-01	7.655E-01	9.890E-01	9.332E-01	9.858E-01	9.106E-01	8.520E-01	9.267E-01	6.950E-01	9.804E-01	9.214E-01	8.327E-01	9.775E-01	9.006E-01	
 -1.938	8.494E-01	8.548E-01	9.740E-01	9.118E-01	8.815E-01	8.383E-01	8.325E-01	7.205E-01	8.555E-01	9.259E-01	8.239E-01	9.901E-01	9.391E-01	8.292E-01	9.910E-01	7.253E-01	9.696E-01	9.161E-01	9.184E-01	8.594E-01	9.262E-01	8.938E-01	8.995E-01	9.817E-01	8.964E-01	8.166E-01	9.044E-01	9.881E-01	9.794E-01	9.849E-01	8.686E-01	9.316E-01	8.772E-01	8.990E-01	9.027E-01	8.051E-01	5.704E-01	9.360E-01	9.065E-01	8.713E-01	
 -1.812	8.659E-01	8.049E-01	9.760E-01	8.645E-01	9.143E-01	7.667E-01	8.512E-01	8.686E-01	9.319E-01	6.122E-01	8.275E-01	8.707E-01	9.841E-01	8.816E-01	9.191E-01	8.335E-01	8.734E-01	8.829E-01	8.182E-01	9.754E-01	8.084E-01	9.267E-01	8.734E-01	8.416E-01	6.412E-01	9.199E-01	8.135E-01	8.941E-01	8.840E-01	9.748E-01	8.231E-01	9.098E-01	6.831E-01	9.228E-01	8.647E-01	8.881E-01	8.062E-01	9.632E-01	6.383E-01	8.566E-01	
 -1.688	9.842E-01	9.756E-01	8.860E-01	9.439E-01	8.344E-01	8.646E-01	8.406E-01	8.175E-01	8.375E-01	9.216E-01	8.485E-01	8.583E-01	9.870E-01	8.140E-01	8.066E-01	8.502E-01	7.284E-01	8.652E-01	8.566E-01	9.049E-01	7.952E-01	8.980E-01	6.964E-01	9.274E-01	8.519E-01	8.160E-01	9.324E-01	7.838E-01	8.806E-01	9.237E-01	8.630E-01	6.320E-01	7.541E-01	9.378E-01	6.907E-01	9.233E-01	7.019E-01	8.566E-01	8.313E-01	9.161E-01	
 -1.562	7.882E-01	8.380E-01	6.044E-01	9.079E-01	8.526E-01	8.600E-01	9.366E-01	9.393E-01	7.630E-01	8.358E-01	7.971E-01	8.792E-01	7.189E-01	8.326E-01	7.227E-01	9.287E-01	9.215E-01	9.419E-01	8.237E-01	9.849E-01	9.262E-01	7.794E-01	9.367E-01	9.108E-01	6.536E-01	8.689E-01	9.437E-01	8.461E-01	6.860E-01	9.843E-01	8.425E-01	8.674E-01	7.159E-01	8.601E-01	9.212E-01	7.832E-01	9.291E-01	8.539E-01	8.345E-01	7.659E-01	
 -1.438	8.824E-01	8.555E-01	8.215E-01	6.647E-01	9.304E-01	8.242E-01	7.152E-01	7.744E-01	9.025E-01	8.471E-01	9.914E-01	9.470E-01	9.818E-01	6.957E-01	8.182E-01	9.277E-01	9.339E-01	8.923E-01	9.168E-01	7.802E-01	7.836E-01	8.348E-01	9.308E-01	8.944E-01	8.488E-01	7.297E-01	8.191E-01	8.103E-01	9.308E-01	9.247E-01	8.789E-01	9.079E-01	9.883E-01	9.352E-01	7.451E-01	7.963E-01	7.705E-01	8.871E-01	8.666E-01	8.429E-01	
